,H1,H2,H3,H4,H5,H6,H7,H8,HWavg,Q1,Q2,Proj1,Proj2,total
0,10.0,10.0,10.0,10.0,9.5,9.5,10.0,10.0,9.875,93.61904762,81.09756098,96.75,97.0,91.79
1,10.0,10.0,10.0,9.9,9.5,9.0,10.0,10.0,9.8,76.09523809999999,66.46341463,96.5,86.0,84.84
2,10.0,10.0,9.5,10.0,9.5,10.0,10.0,10.0,9.875,86.38095238,85.36585366,95.0,95.0,90.86
3,10.0,10.0,10.0,10.0,10.0,10.0,10.0,9.8,9.975,83.07692308,98.93,95.0,94.5,92.7
4,10.0,10.0,10.0,10.0,9.5,9.5,10.0,10.0,9.875,91.90476190000001,95.12195122,94.5,91.0,91.77
5,10.0,10.0,9.8,9.9,9.9,10.0,10.0,10.0,9.95,93.05263158,93.01470588,94.8,94.7,92.76
6,10.0,10.0,10.0,10.0,10.0,10.0,9.9,10.0,9.9875,94.23076923,93.6,93.0,93.17,92.32
7,9.5,10.0,10.0,10.0,9.9,10.0,10.0,10.0,9.925,88.84210526,85.29411765,95.0,95.3,91.3
8,9.5,9.9,10.0,10.0,10.0,9.5,10.0,10.0,9.8625,87.61904762,85.97560976,94.5,91.0,89.94
9,10.0,10.0,10.0,10.0,10.0,8.5,9.5,10.0,9.75,78.09523809999999,85.97560976,95.0,95.0,89.78
10,10.0,10.0,10.0,10.0,10.0,10.0,9.75,10.0,9.96875,89.89473684,92.27941176,95.0,95.7,92.67
11,10.0,10.0,10.0,9.9,10.0,10.0,10.0,10.0,9.9875,87.89473684,94.11764706,94.0,95.7,92.6
12,10.0,10.0,10.0,9.8,9.5,9.0,9.0,10.0,9.6625,89.42857143,86.58536585,95.5,94.0,90.62
13,10.0,9.9,9.9,10.0,10.0,10.0,9.8,9.8,9.924999999999999,86.15384615,60.42,95.13,94.17,87.04
14,10.0,10.0,9.5,10.0,9.5,9.0,10.0,10.0,9.75,77.90476190000001,78.04878049,96.75,97.0,89.42
15,10.0,9.9,9.5,10.0,10.0,10.0,10.0,10.0,9.925,84.76190476,88.41463415,96.5,96.0,91.84
16,10.0,10.0,10.0,10.0,9.9,9.8,10.0,10.0,9.9625,94.92307692,96.46,95.63,92.5,93.11
17,10.0,10.0,10.0,9.9,10.0,7.0,8.0,8.0,9.1125,76.92307692,84.71,98.88,94.0,88.28
18,9.75,10.0,9.5,9.5,9.5,10.0,9.5,10.0,9.71875,65.78947368,69.85294118,89.0,96.3,85.17
19,10.0,10.0,9.5,9.9,9.25,9.5,10.0,10.0,9.76875,68.47619048,68.90243902,96.5,89.0,85.11
20,10.0,9.9,10.0,8.8,9.5,9.5,10.0,10.0,9.7125,83.61904762,76.2195122,95.0,95.0,88.77
21,0.0,0.0,0.0,10.0,9.9,10.0,9.75,10.0,6.20625,74.10526316,83.82352941,90.0,96.7,78.92
22,10.0,9.9,9.5,9.5,9.5,10.0,10.0,10.0,9.8,72.76190476,79.26829268,95.5,94.0,88.23
23,10.0,10.0,9.75,10.0,9.5,10.0,9.75,10.0,9.875,91.42857143,92.68292683,96.75,97.0,93.31
24,10.0,10.0,10.0,10.0,9.9,9.2,10.0,10.0,9.8875,95.76923077,76.68,98.38,95.17,91.24
25,10.0,10.0,10.0,10.0,10.0,10.0,9.9,10.0,9.9875,93.07692308,85.3,95.5,92.67,91.34
26,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,71.57894737,71.32352941,89.5,91.3,85.58
27,10.0,10.0,10.0,10.0,9.25,10.0,10.0,10.0,9.90625,93.80952381,95.12195122,96.5,96.0,93.7
28,10.0,9.8,9.8,8.0,8.0,8.0,8.0,8.0,8.7,56.92307692,72.86,93.25,95.33,82.59
29,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,93.84615385,94.53,99.63,97.5,94.87
30,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,95.76923077,91.15,98.5,93.0,93.2
31,10.0,10.0,9.9,9.95,9.9,10.0,10.0,10.0,9.96875,90.42105263,91.17647059,90.0,96.3,91.71
32,10.0,10.0,10.0,9.0,9.9,10.0,10.0,10.0,9.8625,85.38461538,83.92,95.75,91.83,89.86
33,10.0,9.9,10.0,10.0,10.0,10.0,10.0,10.0,9.9875,88.84615385,93.08,99.13,92.83,92.85
34,10.0,9.75,10.0,10.0,10.0,10.0,10.0,10.0,9.96875,91.05263158,91.91176471,89.5,92.3,90.78
35,10.0,10.0,10.0,10.0,10.0,10.0,9.5,10.0,9.9375,89.52380952,91.46341463,96.75,97.0,93.1
36,10.0,10.0,9.9,10.0,9.9,9.0,9.0,9.0,9.6,91.53846154,86.81,99.5,94.0,91.5
37,10.0,10.0,10.0,10.0,9.5,10.0,10.0,10.0,9.9375,94.76190476,92.68292683,95.5,94.0,92.81
38,9.0,10.0,10.0,9.9,9.5,10.0,10.0,10.0,9.8,90.0,80.48780488,96.5,86.0,88.33
39,9.75,10.0,10.0,10.0,10.0,10.0,10.0,10.0,9.96875,87.36842105,89.70588235,93.8,95.3,91.69
40,10.0,10.0,10.0,10.0,9.8,10.0,10.0,10.0,9.975,81.57894737,94.11764706,90.0,92.3,90.28
41,10.0,10.0,10.0,10.0,10.0,8.9,10.0,10.0,9.8625,76.92307692,69.45,97.75,93.33,87.62
42,10.0,10.0,10.0,10.0,10.0,10.0,9.0,10.0,9.875,90.42105263,88.97058824,90.5,93.3,90.48
43,9.75,10.0,10.0,10.0,9.5,9.5,10.0,10.0,9.84375,85.33333333,82.31707317,95.0,95.0,90.21
44,9.75,10.0,10.0,10.0,10.0,9.5,10.0,10.0,9.90625,73.80952381,69.51219512,96.5,89.0,86.1
45,10.0,10.0,10.0,9.8,9.9,9.0,7.0,8.0,9.212499999999999,74.23076923,78.79,98.63,93.83,87.3
46,10.0,9.5,10.0,10.0,10.0,10.0,9.9,10.0,9.925,92.69230769,92.41,95.25,93.58,92.37
47,10.0,10.0,10.0,10.0,10.0,10.0,9.9,10.0,9.9875,91.15384615,89.45,92.13,93.67,91.34
48,10.0,9.5,10.0,10.0,10.0,10.0,10.0,10.0,9.9375,91.89473684,92.64705882,92.3,93.0,91.63
49,9.5,10.0,9.5,9.5,9.5,10.0,10.0,10.0,9.75,74.94736842,79.41176471,89.5,92.7,86.81
50,10.0,10.0,9.5,9.5,10.0,8.5,10.0,10.0,9.6875,53.33333333,48.17073171,95.5,94.0,81.32
51,10.0,10.0,10.0,10.0,9.7,10.0,10.0,10.0,9.9625,64.73684211,76.47058824,90.0,91.3,85.67
52,10.0,10.0,10.0,9.9,9.5,10.0,10.0,10.0,9.925,90.47619048,89.02439024,96.5,96.0,92.5
53,10.0,10.0,10.0,9.8,9.5,9.5,10.0,10.0,9.85,81.33333333,76.2195122,96.5,86.0,86.96
54,9.0,10.0,10.0,10.0,10.0,10.0,9.5,10.0,9.8125,86.21052632,91.91176471,92.0,93.3,90.63
55,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,93.38461538,100.0,98.88,94.167,94.66
56,10.0,10.0,9.9,10.0,10.0,10.0,10.0,9.0,9.8625,84.15384615,80.56521739,88.63,90.67,87.52
57,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,94.23076923,91.64,99.63,97.5,94.47
58,9.5,10.0,10.0,10.0,10.0,9.5,9.5,10.0,9.8125,47.14285714,60.36585366,96.5,96.0,83.56
59,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,95.38461538,100.0,89.13,93.67,92.78
60,10.0,9.0,10.0,9.0,9.0,9.0,8.0,7.0,8.875,87.69230769,82.96,99.13,92.83,88.21
61,10.0,10.0,10.0,10.0,10.0,9.0,9.0,10.0,9.75,95.0,97.74,92.63,94.08,92.53
62,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,90.52631579,91.17647059,92.3,93.0,91.44
63,9.5,9.5,9.9,10.0,9.7,10.0,10.0,10.0,9.825,82.10526316,83.82352941,96.0,94.0,90.01
64,10.0,10.0,10.0,10.0,10.0,10.0,10.0,9.8,9.975,90.76923077,84.71,98.63,93.83,91.9
65,10.0,10.0,10.0,9.8,10.0,10.0,9.8,9.8,9.924999999999999,88.30769231,80.06,99.5,93.92,91.02
66,10.0,10.0,9.75,10.0,10.0,10.0,9.5,10.0,9.90625,72.85714286,78.65853659,95.5,94.0,88.43
67,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,98.07692308,93.08,98.88,92.67,93.71
68,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,99.23076923,99.84,98.88,92.83,94.88
69,9.5,10.0,10.0,10.0,9.9,6.5,10.0,6.0,8.9875,94.23076923,85.3,87.5,90.33,86.57
70,10.0,10.0,10.0,10.0,10.0,10.0,9.9,10.0,9.9875,93.84615385,100.0,92.75,93.0,93.15
71,10.0,10.0,9.5,9.8,9.0,9.0,9.75,10.0,9.63125,71.42857143,84.14634146,94.5,91.0,87.42
72,10.0,9.75,9.8,10.0,9.9,10.0,9.5,10.0,9.868749999999999,58.42105263,74.26470588,96.5,95.7,86.85
73,10.0,10.0,10.0,9.9,10.0,10.0,10.0,10.0,9.9875,84.73684211,90.44117647,89.5,92.0,89.91
74,9.5,9.9,10.0,9.95,9.5,9.0,10.0,10.0,9.73125,80.0,74.3902439,96.5,96.0,88.73
75,10.0,9.0,10.0,10.0,9.8,10.0,10.0,10.0,9.85,88.94736842,87.5,93.8,95.0,91.12
76,10.0,9.5,10.0,10.0,10.0,10.0,10.0,9.8,9.9125,94.61538462,84.12,92.75,92.83,90.6
77,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,88.84615385,78.79,95.75,92.67,90.02
78,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,91.92307692,86.81,96.5,92.83,91.72
79,10.0,10.0,10.0,10.0,9.5,10.0,10.0,10.0,9.9375,81.80952381,88.41463415,94.5,91.0,89.92
80,10.0,10.0,10.0,10.0,9.9,10.0,9.0,10.0,9.8625,95.0,81.75,92.88,93.33,90.3
81,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,95.38461538,100.0,95.0,93.33,93.87
82,10.0,10.0,10.0,10.0,9.9,10.0,10.0,10.0,9.9875,92.69230769,90.19,99.63,98.0,94.19
83,10.0,10.0,9.9,9.7,9.7,10.0,10.0,10.0,9.9125,65.57894737,75.73529412,91.0,96.3,86.96
84,10.0,10.0,10.0,9.9,9.8,10.0,9.5,10.0,9.9,55.78947368,79.77941176,92.8,95.3,86.66
85,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,100.0,83.44,98.38,92.67,92.36
86,10.0,10.0,10.0,10.0,9.9,8.0,8.5,10.0,9.55,96.07692308,54.5,88.0,88.88,83.39
87,9.5,10.0,9.0,10.0,9.5,9.0,10.0,10.0,9.625,84.28571429,87.19512195,95.0,95.0,90.25
88,10.0,10.0,9.8,9.9,9.9,10.0,10.0,10.0,9.95,90.94736842,89.70588235,90.0,92.0,90.42
89,10.0,10.0,10.0,10.0,10.0,10.0,10.0,9.8,9.975,90.76923077,93.6,95.5,92.33,92.23
90,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,91.38461538,90.04,95.75,92.33,91.88
91,10.0,10.0,9.9,10.0,9.9,10.0,10.0,9.8,9.95,95.0,92.12,95.75,93.0,92.58
92,10.0,10.0,10.0,9.9,9.8,10.0,10.0,10.0,9.9625,79.36842105,87.5,89.5,93.0,89.11
